year,title,article,publication
2017,Trump Tweets He Was ‘Saddened’ by ‘Bad’ Emmy Ratings,"President Trump had international affairs on his mind Tuesday morning. In his speech before the United Nations, he threatened to “totally destroy North Korea.” He lambasted the Iran nuclear deal. And he proclaimed that parts of the world “are going to hell.” But by late Tuesday night, Mr. Trump was focused on other things. He pulled out his iPhone to deliver a 139-character tweet for world consumption: “I was saddened to see how bad the ratings were on the Emmys last night — the worst ever,” Mr. Trump began. It was really only a matter of time before the president chimed in on the Emmy Awards. Politics dominated the event on Sunday night — both in the types of shows that won and the topic of the host Stephen Colbert’s opening monologue and the winners’ speeches. Mr. Trump has expressed his displeasure with Emmys in years past, calling them rigged and dishonest. And the first minutes of Sunday’s broadcast seemed almost designed to goad the president to respond. Mr. Colbert noted that Mr. Trump was once part of Hollywood. “And we all know the Emmys mean a lot to Donald Trump,” Mr. Colbert said in his monologue. “Because he was nominated multiple times for ‘Celebrity Apprentice’ but he never won. Why didn’t you give him an Emmy? I tell you this. If he had won an Emmy, I bet he wouldn’t have run for president. So in a way this is all your fault.” Mr. Colbert added soon after: “What really matters to Donald Trump is ratings. You’ve got to have the big numbers. And I certainly hope we achieved that tonight.” And then in the first surprise of the night, Sean Spicer, the former White House press secretary, rolled onto the stage behind a lectern like the one immortalized by Melissa McCarthy in her portrayal of him on “Saturday Night Live.” “This will be the largest audience to witness an Emmys, period,” said Mr. Spicer, mocking his similar pronouncement in January about the crowd size at Mr. Trump’s presidential inauguration. It turned out that Mr. Spicer was wrong on both occasions. The Emmys on Sunday were watched by 11.4 million people, according to Nielsen data — about the same as last year, which was the lowest ever. Mr. Trump never won an Emmy for his reality television show, but he got close on Sunday. The actor Alec Baldwin won for his impersonation of the president on “Saturday Night Live.” “I suppose I should say, at long last, Mr. President, here is your Emmy,” Mr. Baldwin said.",The New York Times
2017,"Trump Waives Jones Act for Puerto Rico, Easing Hurricane Aid Shipments","The Trump administration said on Thursday that it would temporarily waive a century-old shipping law for Puerto Rico that officials there said was hindering disaster relief efforts after Hurricane Maria. The waiver of the law, known as the Jones Act, comes as federal and local officials report more supplies trickling onto the increasingly desperate island. But the Trump administration remains under pressure to step up the recovery effort. Sarah Huckabee Sanders, the White House press secretary, announced the decision on Twitter on Thursday morning, saying that President Trump had authorized it after a request from Gov. Ricardo A. Rosselló of Puerto Rico. “It is an act of justice. It will allow Puerto Ricans to rebuild and to have a cost of living that really frankly is affordable,” Carmen Yulín Cruz, the mayor of San Juan, said on CNN on Thursday. Several members of Congress had requested the waiver earlier in the week, saying it would facilitate delivery of food, medicine, clothing and other supplies to the island, which was devastated by Hurricane Maria. The decision was made by Elaine Duke, the acting head of Homeland Security, and comes after Defense Secretary Jim Mattis determined that doing so would be in the interest of national defense, according to a Homeland Security spokesman. The waiver will be in effect for 10 days. Here’s a brief guide to the law, why Puerto Rico wanted it waived, and where the disaster relief effort stands. Governor Rosselló and federal officials on Thursday said that more fuel, food and flights were beginning to reach the island. Increasingly desperate people have spent hours lining up outside grocery stores, banks and gas stations, only to sometimes leave with nothing. Amid widespread shortages of basic necessities, Mr. Rosselló and federal officials said they were setting up 11 regional centers to distribute aid to devastated towns that were all but cut off from the outside. Federal officials said these centers had received two million liters of water and almost one million meals, and more was in the pipeline. A main challenge has been getting supplies out of Puerto Rico’s ports and to people who need food and water. Governor Rosselló said that 689 of Puerto Rico’s 1,100 gas stations were now open, but lines at many still stretch for a quarter-mile and people spend entire days to fill up a few plastic jugs with fuel for their cars or generators. He said that more fuel was arriving, and that officials were working to get truckers to transport fuel and other supplies. The Merchant Marine Act of 1920, known as the Jones Act, requires goods shipped between points in the United States to be carried by vessels built, owned and (mostly) operated by Americans. Its goals were twofold. First, it was intended to support a national maritime industry that could mobilize for war or a national emergency. Second, it was intended to protect American control over local waterborne commerce. Those opposed to the act have long included officials and allies of Hawaii, Alaska and Puerto Rico, who say that the law increases shipping costs for goods from the mainland, which are then passed on to consumers. Its supporters include pro-defense groups and members of the domestic shipping industry whose interests it protects. Some criticized calls for the suspension, arguing that it was not clear how much good it would do and that delivery delays were being caused by problems moving goods inland, not importing them. In a Monday letter to the head of the Department of Homeland Security, eight members of Congress asked for a temporary waiver of the act, arguing that lifting it would expand access to food, medicine, clothing, building supplies and oil needed for power plants. “Puerto Rico can’t borrow funds and they are required to use American shipping only, which is the most expensive in the world. In their hour of need, Washington can help by suspending the Jones Act,” one of the letter’s signatories, Representative Luis V. Gutiérrez, Democrat of Illinois, said in a statement at the time. A day later, Senator John McCain, Republican of Arizona, voiced his support for the effort. “It is unacceptable to force the people of Puerto Rico to pay at least twice as much for food, clean drinking water, supplies and infrastructure due to Jones Act requirements as they work to recover from this disaster,” he said on Tuesday. Mr. McCain, long an advocate for repealing the law, most recently advanced legislation to do so in July. He renewed his call for repeal on Thursday after the waiver was announced. Waivers are issued by the Department of Homeland Security, typically at the request of shippers unable to find United States vessels to shuttle their cargo or at the request of other federal agencies. A waiver can be granted only if it is in the interest of national defense and only if there are enough United States vessels available to meet national defense needs. Shipping costs or humanitarian needs are not part of the consideration, officials said. Alternatively, a request in the interest of national security may be granted automatically if it comes from the secretary of defense. The Jones Act was most recently waived weeks ago, in response to hurricanes Harvey and Irma. On Sept. 8, Ms. Duke granted a temporary waiver at the request of the departments of Defense and Energy. That decision, she said, would make it easier to ship petroleum products, including gas, diesel and jet fuel, from New York, Louisiana, Pennsylvania and Texas, to Georgia, Florida, South Carolina and Puerto Rico. The one-week waiver was ultimately extended through Sept. 22. That waiver was granted about two weeks after Harvey first made landfall and just days after Hurricane Irma clobbered the Caribbean. Thursday’s waiver was issued eight days after Hurricane Maria first made landfall in Puerto Rico. Before that, a waiver had not been issued since December 2012, when one was granted to ease the delivery of petroleum products after Hurricane Sandy, according to the department. video",The New York Times
2017,Trump Wants to Repeal Obama’s Climate Plan. The Next Fight: Its Replacement.,"WASHINGTON — President Trump failed again this week to fulfill his promise to repeal and replace the Affordable Care Act, President Barack Obama’s signature health plan. Now he is taking aim at Mr. Obama’s central environmental legacy, the Clean Power Plan. The administration has made clear its desire to repeal the Obama energy plan. But what would take its place remains a mystery. The Environmental Protection Agency is expected in the coming days to reveal its strategy for reversing the Clean Power Plan, which was intended to reduce greenhouse gas emissions from power plants across the country. Yet while Mr. Trump has declared the Obama-era plan dead — “Did you see what I did to that? Boom, gone,” he told a cheering crowd in Alabama recently — industry executives say they expect that utilities could still be subject to some restrictions on carbon emissions. “I would be surprised if repeal did not lead to replacement,” said Paul Bailey, president of the American Coalition for Clean Coal Electricity. If the E.P.A. does open the door to a new, weaker set of rules that utilities and others favor, it will most likely touch off a legal battle with environmental groups and pose a bureaucratic challenge to an agency where critical senior positions remain vacant. It could also force the agency’s administrator, Scott Pruitt, who has rejected the scientific consensus that human emissions cause climate change, to implicitly acknowledge that greenhouse gases harm human health and that the E.P.A. has an obligation to regulate them. “There’s an internal debate over what the overall approach toward greenhouse gases should be, and it’s hard to formulate policy if you haven’t come to terms with the outcome of the debate,” said David M. Konisky, a professor of public and environmental affairs at Indiana University. The parallels between the Clean Power Plan and the Affordable Care Act go only so far. The health care law, which was passed by Congress, offered a tangible benefit to many Americans and was firmly in place when Mr. Trump entered office. The Clean Power Plan, a regulation, not legislation, has not taken effect and is tied up in a federal appeals court. But environmental activists and conservative opponents alike say both cases show that demanding a policy be repealed is easier than making it happen. Finding a replacement is even harder. “From the perspective of advocacy and political strategy, I think there’s a lot of similarities. Members of Congress campaigned for six or seven years to fully repeal Obamacare, and there were no conversations about replace, or nothing of substance,” said Christine Harbin, vice president of external affairs at Americans for Prosperity, a conservative advocacy group. Of the Clean Power Plan, she said, “It may be difficult to fully repeal.” The Clean Power Plan aimed to reduce carbon dioxide emissions from existing power plants 32 percent below 2005 levels and required each state to develop carbon-cutting plans. Enacting the regulation was considered vital to helping the United States reach its commitment to reduce emissions under the Paris agreement. Mr. Trump has said he intends to withdraw from that accord. The United States Chamber of Commerce, coal companies and most Republican lawmakers strongly opposed the regulation. Mr. Trump signed an executive order in March to eliminate it, fulfilling a campaign promise to end what he denounced as a job-killing regulation. Over the past several months, though, some of the very people who advocated killing Mr. Obama’s climate policy have told Mr. Pruitt that his agency should devise a new, albeit weaker, rule to regulate carbon emissions in its place. Leading industry groups — including the Chamber of Commerce and the National Association of Manufacturers, and utility lobbies like the Edison Electric Institute — have pressed the administration for a replacement. “We didn’t always see eye-to-eye with the last administration on how to deal with climate in the regulatory space,” said Ross Eisenberg, vice president of energy policy at the National Association of Manufacturers, which joined 28 states to challenge the Clean Power Plan in federal court. “But we’re comfortable with having a policy, even a regulation, that addresses climate change. It’s about getting the regulation right.” In public, industry leaders say their companies already are on a greener trajectory. Behind the scenes, they also worry that simply killing the climate rule would not hold up in court, and would invite even tougher regulations under a future Democratic president. They are advocating a narrow regulation that allows utilities to reduce pollution at individual plants, like substituting fuel or improving the efficiency of furnaces. Dan Byers, the senior director for policy at the Chamber of Commerce’s Global Energy Institute, said it’s important that the E.P.A.’s repeal opens the door to such a replacement. Without one, he said, the agency would be vulnerable to lawsuits for not regulating carbon dioxide. Extremely hot days are expected to be much more frequent in the coming decades, potentially disrupting our everyday lives. “The uncertainty that would be associated with that is far more risky than having a rule in place which is reasonable, achievable and cost-effective,” he said. The E.P.A. declined to answer questions about the repeal process. “We don’t comment on rules undergoing interagency review,” Amy Graham, an agency spokeswoman, said in a statement. If Mr. Pruitt moves to replace the Clean Power Plan, it could signal that he intends to abandon a larger fight to challenge the essential underpinning of federal climate policy. The so-called endangerment finding, adopted after the Supreme Court found in 2007 that greenhouse gases are a pollutant subject to regulation under the Clean Air Act, declares that such emissions may “reasonably be anticipated to endanger public health or welfare.” Mr. Pruitt has been under pressure from people who reject established climate science to challenge the determination, but a chorus of more pragmatic voices inside the administration and industry have insisted that doing so would be a legal morass with an uncertain outcome. Myron Ebell, a climate denier who led the E.P.A. transition team for the Trump administration, said he still hoped to see Mr. Pruitt challenge the endangerment finding in the future. That could happen through a series of debates on climate science that Mr. Pruitt has described as a “red team, blue team” exercise. In the meantime, Mr. Ebell said he was confident the Clean Power Plan would crumble and said the failure of Republicans to upend the Affordable Health Care was a lesson for Democrats: Pass legislation. “If you want to make something durable, you better get a law passed by Congress,” he said. “What one president can do by pen and by phone another president can undo by pen and by phone.”",The New York Times
2017,"Trump Welcomes Najib Razak, the Malaysian Leader, as President, and Owner of a Fine Hotel","WASHINGTON — When President Trump welcomed Malaysia’s prime minister, Najib Razak, to the White House on Tuesday, he thanked him for “all the investment you’ve made in the United States.” Mr. Trump did not single out Mr. Najib’s patronage of his hotel two blocks from the White House, but he could have: the Malaysian leader was spotted entering and exiting the Trump International Hotel, with his entourage, on Monday and Tuesday. The White House denied that Mr. Najib had picked the hotel at Mr. Trump’s behest. “We certainly don’t book their hotel accommodations,” the press secretary, Sarah Huckabee Sanders, said, “so I couldn’t speak to the personal decision they made about where to stay here in D.C.” Whatever the motivation, the choice of lodgings added to the awkwardness of a meeting already replete with ethical questions. Mr. Najib is under investigation by the Justice Department, part of a corruption scandal that critics said he has fended off by firing investigators and dismissing negative news reports about him as “fake news.” In these respects, he is not unlike Mr. Trump. So it was perhaps not a surprise that the two leaders skipped a news conference, kept their public remarks brief, and stayed on the safe ground of trade and counterterrorism. “We’re talking about trade – very large trade deals,” Mr. Trump said to Mr. Najib, during a photo opportunity before they met in the Cabinet Room. “Malaysia is a massive investor in the United States in the form of stocks and bonds.” A grateful Mr. Najib replied, “We come here with a strong value proposition to put on the table.” He talked about buying Boeing planes and General Electric jet engines but did not mention that he had just come from the Trump hotel. Behind closed doors, the prime minister urged the United States to put pressure on neighboring Myanmar — including Daw Aung San Suu Kyi, the de facto leader of the elected civilian government — to stop the systematic persecution of the Rohingya, its minority Muslim population. Mr. Trump, a senior administration official said, expressed anger over the military crackdown and discussed ways to pressure authorities in Myanmar. There are no current plans for Mr. Trump to call Ms. Aung San Suu Kyi, this official said, but he did not rule out a future conversation. American presidents have long done an awkward dance with the leaders of Malaysia, a Southeast Asian country that is a valuable trading partner and dependable counterterrorism ally of the United States but is ruled by a corrupt, entrenched Malay elite. That tension is even more acute with Mr. Najib, who is under investigation by the United States and others for an estimated $3.5 billion that investigators believe he and his associates diverted from a Malaysian government fund that he headed. Among other things, the money was used to buy jewelry, real estate and the rights to Hollywood films. The White House insisted that the Justice Department inquiry had no relevance to the meeting and would not figure in the conversation. “That investigation is apolitical and certainly independent of anything taking place tomorrow,” Ms. Sanders said on Monday. But the White House did move a picture-taking session from the Oval Office, denying Mr. Najib the customary photo with the president before the fireplace, under George Washington’s portrait. Before their meeting, Mr. Trump credited Mr. Najib with cutting off business ties between Malaysia and North Korea. The Malaysian capital, Kuala Lumpur, has served as one of the hubs for North Koreans seeking to buy or sell nuclear-related technology or trade weapons. Relations between the two countries ruptured after Malaysia accused the North Korean government of assassinating Kim Jong-nam, the half brother of Kim Jong-un, in a bizarre attack at Kuala Lumpur’s international airport. Each country temporarily barred the other’s nationals from leaving. “He does not do business with North Korea any longer, and we find that to be very important,” Mr. Trump said. Mr. Najib presented a detailed list of purchases and investments – with dollar signs attached – that seemed tailored to Mr. Trump’s balance-sheet emphasis in dealing with other nations. Malaysia, he said, had committed to buying 25 Boeing 737’s and eight 787 Dreamliners for its national airline. In addition, Mr. Najib said, one of Malaysia’s largest pension funds planned to invest between $3 billion and $4 billion in the Trump administration’s effort to rebuild American infrastructure. And another sovereign wealth fund planned to increase its existing $400 million investment in Silicon Valley. “Great,” Mr. Trump interjected, each time Mr. Najib reeled off a figure. For Mr. Najib, who faces an election and has been under unrelenting pressure at home, the meeting qualified as a major victory. It demonstrated to critics that he could travel to the United States without fear of being detained. For Mr. Trump, the payoff was less obvious. Administration officials view Malaysia as a counterweight to China and say it has been steadfast in the fight against the Islamic State. But the president broke arguably the strongest bond between the two countries when he pulled the United States out of the Trans-Pacific Partnership, a regional trade pact that includes Malaysia. Mr. Trump’s predecessor, President Barack Obama, once praised Mr. Najib as a reformer and played golf with him in Hawaii in 2014. But after the cloud of corruption allegations took hold, Mr. Obama only met the Malaysian leader at regional conferences. Last year, when the two were together at a summit meeting at the Sunnylands estate in Rancho Mirage, Calif., Mr. Najib did not earn a repeat invitation for golf with Mr. Obama. Mr. Trump, however, seems comfortable with Mr. Najib, a suave figure who speaks impeccable English. In 2014, they played golf at Mr. Trump’s club in Bedminster, N.J. Mr. Trump gave his guest a photo of the two of them, inscribed, “To my favorite prime minister.” Mr. Trump has not hesitated to meet with autocratic leaders — or leaders with legal problems. He invited the Philippine president, Rodrigo Duterte, to the White House, despite what critics said was his record of ordering extrajudicial killings of drug dealers. Still, human-rights advocates criticized this meeting because of the signal they said it would send. “It’s a strange meeting,” said John Sifton, the Asia advocacy director at Human Rights Watch. “Clearly, President Trump has repeatedly shown that he is willing to host authoritarian leaders. But this meeting, in some respects, marks a new low. Najib has been engaged in a broad crackdown against journalists, civil society, even cartoonists.”",The New York Times
2017,Opinion | Trump and AIDS,"Letter To the Editor: “In Africa, a Glimpse of Hope for Beating H.I.V.,” by Tina Rosenberg (Fixes column, nytimes.com, Sept. 19), rightly notes that President Trump’s proposed budget cuts to global health assistance would have subverted gains to end the H.I.V.-AIDS epidemic. Though Mr. Trump’s proposal to reduce funding for the President’s Emergency Plan for AIDS Relief, or Pepfar, by $1 billion was rejected by both the House and the Senate appropriations committees, the administration’s version of the global gag rule — which is a dramatic expansion of previous iterations — remains in effect. Research by Fordham University shows that the global gag rule drastically curtailed community-based H.I.V. testing and condom distribution programs. This is why President George W. Bush explicitly exempted Pepfar funding from the policy. Mr. Trump’s decision to include Pepfar and expand the global gag rule’s reach underscores this administration’s gross incompetence when it comes to global health. Now is not the time to stymie efforts to control the spread of an epidemic that knows no borders. Legislation like the Global HER Act is a critical step to making sure that progress toward ending AIDS is not reversed. SERRA SIPPEL, WASHINGTON The writer is president of the Center for Health and Gender Equity (Change).",The New York Times
2017,Opinion | Trump and Arctic Drilling,"Letter To the Editor: Re “Interior Dept. Proposes Drilling Within Arctic Refuge, Angering Environmentalists” (news article, Sept. 17): In June 2016, five fellow veterans and I were fortunate enough to visit the Arctic National Wildlife Refuge. Over the course of two weeks, we canoed the Canning River for a hundred-plus river miles to the Beaufort Sea. Since I left the Army, the refuge and our spectacular public lands have provided me with a space to rediscover myself and my purpose. With the recent announcement that the Interior Department is trying to open the coastal plain of the Arctic Refuge to seismic exploration, I must share what I witnessed there. The one-time seismic exploration that was completed in 1985 in the coastal plain caused lasting damage. Three decades later, the otherwise pristine landscape remains scarred with seismic trails that stretch for miles across the tundra and cut through the heart of America’s last truly wild frontier. I call on all Americans to join me in defending this fragile place from the Trump administration. To Congress: Please defend against any efforts to open the coastal plain of the Arctic National Wildlife Refuge. ROBERT VESSELS, WASHINGTON The writer is senior campaign representative for the Military Outdoors Program at the Sierra Club.",The New York Times
2017,Opinion | Trump and Castro Can Save Venezuela,"Op-Ed Contributor After months of clashes with the security forces, street demonstrations in Venezuela have calmed down, but the economic and political crisis is far from over. The fraudulently elected National Assembly is drafting a new Constitution that will subordinate the judicial system and legislative bodies to the executive branch. The result will be a new dictatorship in Latin America — the first in decades. Having grabbed virtually total power to govern at will, President Nicolás Maduro has wasted no time in jailing political opponents, resorting to torture and repression against students, and silencing the remaining critical news media outlets. Despite a humanitarian disaster leading his country’s citizens to lose on average up to 10 percent of their weight, to be told to eat pet rabbits and to flee abroad by the hundreds of thousands, Hugo Chávez’s successor refuses to step down. Other countries in the region and the internal opposition must intensify their efforts to find a way out of the chaos. Talks in the Dominican Republic between officials from Mr. Maduro’s government and its opponents will not succeed by themselves. On Monday, President Trump hosted a dinner for the presidents of Brazil, Colombia and Panama and the vice president of Argentina at which they agreed to continue working together to resolve Venezuela’s problems. They might achieve something, but only if another country is brought into the equation: Cuba. Given Mr. Trump’s animosity toward the Cuban regime in his United Nations speech on Tuesday, when he said Washington will not lift sanctions on Havana until it makes reforms, it may seem an unlikely partnership. But both countries have real incentives to work together: Only the Cubans can ease Mr. Maduro and his henchmen from power, and only United States’ investment, tourism, trade and good will can allow Cuba to solve its serious economic problems. If Raúl Castro joins in, a deal could be struck, now or when the crisis takes another bad turn. Mr. Maduro refuses to step down. While the government has scheduled regional elections for mid-October, Mr. Maduro is unwilling to call a presidential election next year, because he knows he will lose. International pressure on Venezuela has increased. Latin American countries have made powerful statements against the regime, and the United States has imposed sanctions; the European Union may soon impose economic and visa sanctions. But these measures alone are unlikely to bring about change in Venezuela, which makes the counterintuitive involvement of Cuba and the United States all the more attractive. Why should Washington and Havana play a role in extricating Venezuela from the mess it is in? First, Cuba has on occasion been helpful in key civil strife negotiations, most recently in Colombia’s peace agreement. Second, the only external power with any real influence in Caracas is Cuba. With more than 40,000 Cuban doctors, teachers and intelligence and security personnel in Venezuela, the Havana government enjoys Mr. Maduro’s complete trust. He relies on it for his own security, to influence his allies and to control his rivals and adversaries. In exchange, Cuba is paid in hard currency for the human resources it provides along with subsidized, though decreasing, supplies of crude oil for Cuban consumption as well as for resale at a higher price to other countries. In short, the Cubans are the only actors in this quagmire who can influence Mr. Maduro and persuade him to step aside. The opposition and the United States must be persuaded to grant Mr. Maduro and his closest cronies safe haven in Havana. This would prompt presidential elections in Venezuela and a reconciliation process with amnesty for all Venezuelans. Why would Cubans push Mr. Maduro to leave? They know that though he has weathered the latest crisis, there are many more to come: debt default, slipping oil production and prices, unrest in the armed forces. Cuba has bet the store on other countries in the past and knows well that the results have not been great. And Cuba has a huge problem just to its north with no visible solution: Donald Trump. With his election victory, Havana lost all of its contacts in Washington. Mr. Trump’s revisions of President Barack Obama’s executive actions to normalize relations with Havana are more fig leaves for Cuban-American legislators than actual threats to Cuba, but they are achieving a secondary effect: dissuading United States and European businesses from investing in Cuba. Cuba wants American tourists, but it needs certainty and continuity to attract investments that could make its economy grow. Without Mr. Trump, that is unlikely. Is there room for a quid pro quo in all of this? Would Havana help ease out Mr. Maduro and facilitate the restoration of Venezuela’s democracy if Mr. Trump were to pursue Obama-style normalization? What if countries like Brazil, Canada, Colombia and Mexico were to replace Mr. Maduro’s oil subsidies for a time and the tens of thousands of Cuban foot soldiers in Venezuela were to be guaranteed a gradual and safe return home? It’s hard to say, but everyone would benefit from such a deal, and none of the parties involved would lose excessively. Venezuela has a lot to gain from a grand bargain including Cuba and the United States, but so do Cuba, the United States and the rest of Latin America. At the moment, it might seem naïve to think that Mr. Maduro and his allies would accept a deal in which he leaves power just as he appears to have consolidated it. But sometimes that is the best moment to reach an agreement. Venezuela’s situation is untenable, and the Cubans, who have been around forever, know that. Does Mr. Trump?",The New York Times
2017,Opinion | Trump and the Iran Nuclear Deal,"Letter To the Editor: Re “Keeping Deal, Trump Signals a Shift on Iran” (front page, Sept. 15): President Trump, driven by a deep desire to undo everything President Barack Obama achieved, combined with a visceral animosity toward Iran, seems bent on undoing this agreement. Even when Iran is certified to be in compliance and Mr. Trump reluctantly stays with the deal, he cannot resist adding new sanctions. He thus challenges Iran to respond, which is what he no doubt wants. If he just dedicated himself with the same drive to reaching a comparable agreement with North Korea, he could potentially have the greatest accomplishment of his presidency. He should only be so lucky to have such a success, but given his preference for threats and bluster, he does not even contemplate the possibility. ELLEN S. HIRSCH, NEW YORK",The New York Times
2017,Opinion | Trump and the Racial Pay Gap,"Letter To the Editor: Re “College Does Not Close Racial Pay Gaps” (editorial, Sept. 20): One powerful tool to combat the persistent wage gap that continues to suppress the economic mobility of women and minorities is transparency. In 2016, the Equal Employment Opportunity Commission approved a transformative measure to collect summary pay data by race, ethnicity and sex from employers to learn where pay gaps persist and how to correct these injustices. In a truly transparent fashion, the commission solicited significant public input, including from employers. Yet now this effort to shine a light on pay disparities is being undermined by the Trump administration, which last month decided to stop the pay data collection. Our organizations submitted Freedom of Information Act requests to get answers from the Trump administration as to why it suspended the E.E.O.C. initiative. Those most affected by pay discrimination, including African-American men and women, deserve to know why the administration chose to side with companies and against equal pay. KRISTEN CLARKEFATIMA GOSS GRAVES WASHINGTON Ms. Clarke is president and executive director of the Lawyers’ Committee for Civil Rights Under Law. Ms. Gross Graves is president and chief executive of the National Women’s Law Center.",The New York Times
2017,"Trump at U.N. Talks Up, but Does Not Press, Mideast Peace","News Analysis UNITED NATIONS — President Trump will try to play the peacemaker in his first appearance at the United Nations General Assembly this week, but not on the issue that American presidents have historically spent their energy and prestige on at diplomatic gatherings like this. Rather than seek to revive the moribund peace negotiations between Israel and the Palestinians – as his predecessor, President Barack Obama, did at his first General Assembly – Mr. Trump is likely to wade back into the internecine feud between Qatar and its Persian Gulf neighbors. Mr. Trump’s focus on the Gulf over the Levant attests to the chronically dismal conditions for an Israeli-Palestinian peace accord, but also to the diminishing role that the peace process plays in the geopolitics of the Middle East and to this president’s other priorities in the region. “If they want to solve the problem, they’ve got to get a negotiation going” with the Israeli and Palestinians, said Martin S. Indyk, the special envoy for Mr. Obama’s last effort to broker a deal. “Unless Trump is prepared to bang some heads together there’s not much for him to do in this situation.” While Mr. Trump has clung to the hope for peace – he raised it again before meeting on Monday with Prime Minister Benjamin Netanyahu of Israel – he has put much more time into cementing alliances with the Sunni Muslim kingdoms of the Persian Gulf, as a way of confronting Iran. That makes the festering squabble in the Gulf a more urgent headache for him than the decades-old enmity between Israelis and Palestinians. Ten days ago, Mr. Trump’s effort to settle the dispute, a three-way phone call with the leaders of Qatar and Saudi Arabia, ended in failure. He is meeting later this week with the Qatari emir, Tamim bin Hamad al Thani, as well as with the Egyptian president, Abdel Fattah el-Sisi, who is also a party to the dispute. Administration officials said Mr. Trump was likely to keep trying to close the rift. “Middle East peace is desirable because it’s the mother of all diplomatic deals,” said Robert M. Danin, a senior fellow for Middle East studies at the Council on Foreign Relations. “But the conflict that’s taking place in the Gulf is harming U.S. interests in a more immediate sense.” The allure of a history-making peace accord is still strong, as Mr. Trump’s remarks with Mr. Netanyahu illustrated. While the Israeli leader kept his focus on “the terrible nuclear deal with Iran,” Mr. Trump spoke expansively about a peace agreement as though it was a genuine possibility, somewhat to the Israelis’ surprise. “It will be a fantastic achievement,” the president said. “We are giving it an absolute go. I think there’s a good chance that it could happen. Most people would say there’s no chance whatsoever.” But Mr. Trump’s enthusiasm bore little resemblance to the actual diplomacy underway here. American officials have gone out of their way to lower expectations for the General Assembly. They do not plan to push either the Israelis or the Palestinians to meet or to present any new ideas for breaking the deadlock between them. Nor will Mr. Trump bring Mr. Netanyahu together with the Palestinian Authority president, Mahmoud Abbas, for a three-way meeting, as Mr. Obama did in September 2009. “This is very early stages,” said Brian H. Hook, senior policy adviser to Secretary of State Rex W. Tillerson. “We shouldn’t expect major breakthroughs or detailed proposals quite yet.” Mr. Hook said Mr. Trump and Mr. Netanyahu devoted an “equitable” amount of time to the peace process, but much of their conversation had to do with the nuclear deal and how to counter Iran’s aggressions in Syria and elsewhere. In recent days, the United States and Iran have waged a war of words over the nuclear deal, accusing each other of violating it in spirit, if not in practice. Mr. Netanyahu fiercely opposed the agreement and is still stoking opposition to it. The contrast to Mr. Obama’s first General Assembly was vivid. He used the meeting to deliver a kick to a process that he felt was lagging after his first eight months in office. After meeting with each leader individually, Mr. Obama presided over a reluctant joint handshake between them. “We cannot continue the same pattern of taking tentative steps forward and then falling back,” an impatient Mr. Obama declared. “Success depends on all sides acting with a sense of urgency.” To underscore his point, Mr. Obama singled out his secretary of state, Hillary Clinton, and special envoy, George J. Mitchell, and said he was directing them to build on the momentum achieved at the United Nations. Ultimately, Mr. Obama’s effort ended in failure. Mr. Trump named his son-in-law, Jared Kushner, and one of his lawyers, Jason D. Greenblatt, to lead the peace negotiations, which many saw as a symbol of his commitment to the process. But he did not mention either of them on Monday in his remarks with Mr. Netanyahu. The two men, joined by another senior official, Dina H. Powell, last traveled to the region in late August, visiting several Arab countries before arriving in Jerusalem and the West Bank. There was no tangible progress toward talks, and by all accounts, their biggest achievement was simply keeping the Palestinians from abandoning the process. If anything, the conditions for a peace agreement have deteriorated since Mr. Trump took office. Mr. Netanyahu is under investigation for corruption and, facing a possible indictment, he is highly unlikely to alienate his right-wing coalition by taking a risk on a peace agreement. Mr. Abbas, 82 and nearing the end of his career, appears more preoccupied with feuding inside his Fatah Party than with striking a deal with Mr. Netanyahu. There was a glimmer of hope in news Monday that Fatah, which administers the West Bank, and Hamas, the Islamic militant group that runs Gaza, were moving ahead with a plan for a Palestinian unity government under the leadership of Fatah. But such agreements have been proclaimed before, only to fall apart after the two sides could not agree on a transfer of power. Some administration officials said that using the United Nations calendar to try to force negotiations between the Israelis and Palestinians could backfire because the talks would inevitably fail, which would feed cynicism about the broader process. Mr. Trump also faces an uphill battle reconciling Qatar and its neighbors. The Saudi crown prince, Mohammed bin Salman, is not coming to the United Nations, depriving Mr. Trump of the chance to put him and the Qatari emir in the same room. But analysts said he had more leverage over the Gulf leaders than he does over the Israelis or Palestinians. “The Saudis want us to stay in the region and counter the Iranian expansion and use of Shia militias,” said Dennis B. Ross, who has worked on Middle East issues for several presidents. “So if we can show we have moved the Qataris, they won’t say no to what we produce.”",The New York Times
